active.www.facebookbrand-preprod.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
admin.100.facebookbrand-2018-dev.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
adminaffordablevaccines.facebookbrand-preprod.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
ads-manager-dev.status.fb.com AS14618 AS14618 - AMAZON.COM, INC. US 3.224.0.0/12
ads-manager.status.fb.com AS14618 AS14618 - AMAZON.COM, INC. US 3.224.0.0/12
ads-transparency-dev.status.fb.com AS14618 AS14618 - AMAZON.COM, INC. US 52.200.0.0/13
ads-transparency.status.fb.com AS14618 AS14618 - AMAZON.COM, INC. US 23.22.0.0/15
affordablevaccines.facebookbrand-preprod.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
agencies.fb.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ai.fb.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
aisweb.facebookbrand-2018-dev.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
alniddfatis-vip2.facebookbrand-release.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
alnnggts403-dmz2.facebookbrand-release.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
a.ns.fb.com AS32934 AS32934 - FACEBOOK, INC. US 129.134.30.0/24
antivirus-extension.facebookbrand-preprod.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
antivirus-for-all.facebookbrand-release.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
aotearoanz.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
apacpolicy.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
apmms.fb.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
appstore.fb.com AS54115 AS54115 - FACEBOOK INC US 163.114.130.0/24
appstoretest.fb.com AS54115 AS54115 - FACEBOOK INC US 199.201.64.0/22
aprenda-dev.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
aprenda.fb.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
aprenda-preprod.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
